longitud,digitos,entropia,proporcionVocalesConsonantes,posicionPrimerDigito
20,0,3.721928094887362,0.6363636363636364,0
19,2,3.616348566075163,0.36363636363636365,6
42,1,3.823500389161362,0.8333333333333334,10
36,0,3.8610523492544297,0.6,0
19,0,3.616348566075164,0.5454545454545454,0
18,0,3.4613201402110083,0.45454545454545453,0
26,2,3.4885252948977477,0.6153846153846154,10
43,2,3.652295570109216,0.7,10
26,2,3.4885252948977477,0.6153846153846154,10
25,1,3.753269689515108,0.8181818181818182,10
43,2,3.652295570109216,0.7,10
26,2,3.4885252948977477,0.6153846153846154,10
31,0,3.824533406881911,0.5555555555555556,0
9,0,3.169925001442312,0.6,0
46,0,3.839689958091771,0.5769230769230769,0
43,2,3.652295570109216,0.7,10
42,2,4.106221888707248,0.8333333333333334,9
25,2,4.023465189601647,0.8181818181818182,9
24,11,3.688721875540868,0.25,1
23,0,3.5883543471732335,0.75,0
35,0,3.7183093602234187,0.7777777777777778,0
43,0,3.872916207737651,0.625,0
15,0,3.5068905956085183,0.8571428571428571,0
25,0,3.863465189601646,0.6153846153846154,0
36,11,3.9959065984842446,0.5,1
16,0,3.375,0.5555555555555556,0
25,0,3.7834651896016465,0.6428571428571429,0
20,0,3.5841837197791886,0.38461538461538464,0
15,0,3.3735572622751855,0.4,0
26,0,3.8731406795131322,0.5333333333333333,0
41,0,3.9579403464411533,0.5652173913043478,0
19,0,3.40582225028569,0.4166666666666667,0
27,2,3.9861879650463035,0.75,9
15,0,2.606238928653389,0.4444444444444444,0
18,0,3.350209029099897,0.25,0
23,0,3.8820451081368628,0.3333333333333333,0
38,0,4.083067973799101,0.43478260869565216,0
24,1,3.886842188131012,0.5833333333333334,12
15,0,3.189898095464287,0.4444444444444444,0
17,0,3.292770193936991,0.4444444444444444,0
18,0,3.1971597234241487,0.6666666666666666,0
14,0,3.2359263506290334,0.5,0
33,0,3.3270900447203595,0.8,0
46,0,4.102168956377575,0.4642857142857143,0
38,0,3.72491954026129,0.7,0
21,0,3.154222184683522,0.7,0
21,0,3.196154780932867,0.7,0
38,0,3.444710411925688,0.7647058823529411,0
18,0,3.4613201402110083,0.23076923076923078,0
16,0,2.899397470347699,0.75,0
33,0,3.7983512260625827,0.7647058823529411,0
25,1,3.653660689688185,0.6153846153846154,11
28,0,3.6280852788913944,0.7857142857142857,0
50,0,3.833411192621122,0.7916666666666666,0
43,1,3.8530382316382705,0.5652173913043478,28
19,1,3.4713544870139295,0.6,8
36,1,3.6314783907408077,0.7058823529411765,8
14,0,3.039148671903071,0.5,0
21,0,3.653756708287001,0.5454545454545454,0
14,0,3.09306920777189,1.0,0
18,0,3.350209029099897,0.23076923076923078,0
15,0,3.32323142879762,0.75,0
15,0,3.1898980954642866,0.3,0
38,0,4.0433370526326025,0.5454545454545454,0
21,0,3.689703732199547,0.35714285714285715,0
11,0,2.663532754804255,0.2857142857142857,0
4,0,2.0,0.3333333333333333,0
35,0,3.8214419452073276,0.55,0
14,0,2.8423709931771093,0.5,0
51,1,4.027517196639521,0.4827586206896552,36
26,0,3.9500637564362093,0.5,0
16,11,3.0306390622295662,0.0,2
11,0,3.0957952550009344,0.42857142857142855,0
16,0,3.625,0.75,0
16,0,3.452819531114783,0.5555555555555556,0
16,0,3.125,0.5555555555555556,0
26,0,3.6714055834424966,0.6,0
24,0,3.7406015629507228,0.5,0
14,0,3.378783493486176,0.5,0
17,0,3.734521664779752,0.6666666666666666,0
22,0,3.5680843243447145,0.5384615384615384,0
46,0,3.76409028280598,0.6666666666666666,0
19,0,3.4058222502856896,0.4166666666666667,0
16,0,3.327819531114783,1.0,0
38,1,4.043337052632602,0.30434782608695654,23
46,1,4.137161140604461,0.46153846153846156,31
21,0,3.5585186130489053,0.46153846153846156,0
15,0,3.373557262275185,0.18181818181818182,0
15,11,3.006238928653389,0.0,1
15,0,3.3232314287976203,0.3,0
10,0,2.9219280948873623,0.3333333333333333,0
10,0,2.6464393446710153,0.8,0
17,0,3.337175341123077,0.5,0
21,0,3.427333493898265,1.0,0
19,0,3.6421498816369033,0.45454545454545453,0
19,0,3.616348566075163,0.5454545454545454,0
20,0,3.2841837197791888,0.5,0
17,0,3.2195282822995477,0.36363636363636365,0
18,0,3.266332639970623,0.5,0
26,0,3.6133373140453067,0.6428571428571429,0
20,0,3.446439344671015,0.5,0
20,0,3.546439344671015,0.5,0
27,0,3.5599000019230838,0.5,0
19,0,3.511085408180427,0.5454545454545454,0
17,0,3.1018812234760182,0.36363636363636365,0
23,0,3.501397825434103,0.42857142857142855,0
18,0,3.1916116417513782,0.45454545454545453,0
14,0,3.182005814760214,0.5,0
21,0,3.653756708287,0.5833333333333334,0
25,1,3.5132696895151074,0.6923076923076923,8
23,0,3.501397825434103,0.42857142857142855,0
22,0,3.8230679822736606,0.6666666666666666,0
18,0,3.058813890331201,0.6,0
24,0,3.5535088547976788,0.4666666666666667,0
21,0,3.4225779953216033,0.5,0
16,0,2.827819531114783,0.5555555555555556,0
19,0,3.366091329119192,0.5454545454545454,0
20,0,3.033206219346495,0.5,0
23,0,3.501397825434103,0.8181818181818182,0
22,0,3.3221793455166666,0.35714285714285715,0
14,0,3.039148671903071,0.5,0
19,0,3.3263604079526936,0.5454545454545454,0
11,0,2.9139770731827523,0.5,0
25,0,3.1092750707107135,0.5333333333333333,0
15,0,3.1068905956085184,0.625,0
19,1,3.4713544870139295,0.6,8
2,0,1.0,0.0,0
13,0,3.0269868333592873,0.375,0
23,0,3.675310868912364,0.5,0
16,0,3.5,0.4,0
33,0,3.5448806813171196,0.6470588235294118,0
7,0,2.5216406363433186,0.75,0
19,1,3.4713544870139295,0.6,8
30,12,3.6825887305018328,0.625,1
36,1,3.6314783907408077,0.7058823529411765,8
15,12,2.498929563690935,0.0,1
0,0,0.0,0.0,0
19,0,3.3005590923909542,0.7,0
23,0,3.7950885863977324,0.75,0
26,3,3.767183467891461,0.5384615384615384,2
16,0,3.375,0.75,0
15,0,3.189898095464287,0.625,0
17,0,3.4992275471326932,0.875,0
16,0,3.452819531114783,0.75,0
16,0,3.202819531114783,0.16666666666666666,0
10,0,2.9219280948873623,0.5,0
18,0,3.197159723424149,0.45454545454545453,0
16,0,3.202819531114783,0.16666666666666666,0
16,0,3.375,0.5555555555555556,0
23,0,3.5883543471732335,0.6666666666666666,0
21,0,3.558518613048906,0.5833333333333334,0
21,0,3.5351745656359026,0.6666666666666666,0
14,0,3.182005814760214,0.5,0
38,0,3.570332619710574,0.8333333333333334,0
11,0,2.481714572986073,0.2857142857142857,0
14,0,3.521640636343319,0.7142857142857143,0
18,0,3.4613201402110083,0.6,0
31,0,3.962103165155795,0.5555555555555556,0
13,0,3.085055102756477,0.5714285714285714,0
14,0,3.039148671903071,0.5,0
20,0,3.484183719779189,0.1875,0
44,0,3.754077926826903,0.6086956521739131,0
21,0,3.4632805178108113,0.7272727272727273,0
15,12,2.682588730501833,0.0,1
27,0,3.6339740759971577,0.5,0
20,12,3.2414460711655217,1.0,1
15,11,2.8225797618424915,0.0,1
20,0,3.6414460711655217,0.26666666666666666,0
20,11,3.346439344671015,1.0,1
15,11,2.7395722619867224,0.0,1
26,2,3.642371448743902,0.6153846153846154,10
43,2,3.6812516747100656,0.7,10
26,0,3.5843031793467124,0.6428571428571429,0
32,0,3.5459585933443494,0.6111111111111112,0
17,0,3.4992275471326932,0.5,0
30,11,3.8029100796497266,0.625,1
24,0,3.8035088547976788,0.6153846153846154,0
